,country,gross_rental_yield_outside_of_centre,city_name,price_to_rent_ratio_outside_of_centre,house_price_to_income_ratio,affordability_index,mortgage_as_percentage_of_income,price_to_rent_ratio_city_centre,gross_rental_yield_city_centre,city_id
406,United States,12.005168429316928,"Asheville, NC",8.329745691513786,4.833552531089735,2.6964644286308608,37.08559954962037,16.58614768435098,6.029127552888603,7644
407,United States,9.37169803985479,"Salem, OR",10.670424887222408,4.605699533248931,2.9712735844894365,33.65560159859306,15.23430534739725,6.564132575764919,10274
408,United States,8.258155111550664,"Irvine, CA",12.109242155082582,4.600441784837233,3.000782371027083,33.324642588383654,12.224411104923064,8.180353159075908,8366
409,United States,13.619730791106369,"Fort Lauderdale, FL",7.342289031535015,4.577618853776455,3.021003590942598,33.1015826329417,13.882842335295765,7.2031358986019605,8025
414,United States,15.77214920958411,"Philadelphia, PA",6.340290005577297,4.4241050375438515,3.1014254941899804,32.24323788765322,12.533658954408503,7.978516119175773,3465
416,United States,9.986307350964152,"Portland, OR",10.01371142360697,4.40998016029832,3.2164285952571916,31.0903839579886,12.604277932076558,7.933814260435383,3469
417,United States,9.024187472156278,"Everett, WA",11.081330070828589,4.375904435763889,3.0425012687359048,32.86769377143034,11.816994982520127,8.462388293125407,9966
418,United States,9.737011669418361,"Denver, CO",10.270091419739819,4.355525716948697,3.263197697565563,30.64478749620435,13.779164017261877,7.257334325560301,3412
419,United States,15.793382617832318,"Boca Raton, FL",6.331765804691512,4.294028405017626,3.281899125536924,30.470162602465678,18.662943358155257,5.358211621871659,11189
420,United States,21.54950174473537,"Baton Rouge, LA",4.640478521710155,4.256867712643813,3.2407084499353513,30.857450321393426,16.29724841153696,6.136005138708517,3397
421,United States,9.955761695583227,"Vancouver, WA",10.044434876777332,4.20793354642897,3.171498324231785,31.530838038270904,15.413979835231553,6.487617154619028,7793
422,United States,10.365333164545607,"Aurora, CO",9.647543249458472,4.117785348569757,3.3673677988474537,29.696785731046937,12.97930605458525,7.704572153506822,10918
423,United States,10.724566193957417,"Fairfax, VA",9.32438647787389,4.096147226810136,3.450832721165462,28.97851274756275,16.287519110136316,6.139670463242395,8684
425,United States,19.223009890882864,"Fort Wayne, IN",5.202098972410571,4.052079341950092,3.3937690651619796,29.465764487787016,20.043579590887624,4.989128790421389,3417
426,United States,12.574352490818855,"Chicago, IL",7.952695780797846,3.9829974960840158,3.478530800561953,28.747769024740304,12.226124749711358,8.179206579939475,3405
427,United States,12.950629608204492,"Corpus Christi, TX",7.72163230864451,3.97902894054482,3.410431656389954,29.321801482998506,19.119290862155065,5.230319509283741,3410
428,United States,9.808479813373127,"Colorado Springs, CO",10.19525980607693,3.8695403409085425,3.4895946301346146,28.656623648043155,13.432841766484087,7.444441149415401,3408
430,United States,15.054496117190103,"Richmond, VA",6.6425338464709,3.810935631078139,3.5879431791749155,27.87112142143679,16.065793624377907,6.224404616293717,3472
431,United States,11.512166077544128,"Austin, TX",8.68646259326141,3.8033070123119836,3.6854947372859703,27.133399211862898,12.526511382045843,7.98306862542186,3393
432,United States,20.106128778235075,"Savannah, GA",4.973607853753041,3.7926953715791782,3.3857474225489006,29.535575906816096,11.602791944045936,8.618615285204333,7493
433,United States,11.023578977272793,"Bakersfield, CA",9.071464014198023,3.759938959316261,3.618599396157597,27.63500157165361,20.669254027866973,4.838103971491989,3395
434,United States,13.446530741026258,"Atlanta, GA",7.436862483413164,3.727408852572355,3.6967407817624105,27.050855308368494,14.916441087852643,6.7040119966307525,3391
435,United States,11.966513433414153,"Minneapolis, MN",8.35665296800399,3.696533604611474,3.7056775085510973,26.985618626888968,14.535524190317085,6.879696851016595,3450
438,United States,19.744647018632826,"Dayton, OH",5.064663850694875,3.659670157072496,3.736051058118895,26.766229487867356,15.349939815955162,6.514683523127379,7711
440,United States,9.971458133265237,"Reno, NV",10.028623563728905,3.6065119031688844,3.9261970544504554,25.469939132740976,12.075113323697636,8.281495777248578,3471
441,United States,11.079548857943072,"Madison, WI",9.025638253159443,3.6029482670807464,3.8921327947323348,25.692854091551386,13.401636765776377,7.461775135957197,3445
442,United States,10.18097957040044,"Alexandria, VA",9.822237566484654,3.5581712162305297,3.954164970299594,25.28978956394511,14.488452568594951,6.902048339983469,8914
443,United States,11.954639315839879,"Saint Paul, MN",8.36495333384924,3.4986494438741444,3.9792657319420406,25.13026440965932,11.160060591178787,8.96052482717188,3477
444,United States,13.378492891820576,"Lincoln, NE",7.474683494516682,3.40358823317817,3.8842576512825095,25.744945103469608,17.765814128899173,5.628787922380247,3439
