country,city,cities,state,latitude,longitude,city_id,Zip_Code,ALand,AWater,Mean,Median,Stdev,sum_w
United States,"Hattiesburg, MS",Hattiesburg, MS,31.3271189,-89.2903392,8117,39401,2294987,0,56055,300000,37561,161.4941002
United States,"Hempstead, NY",Hempstead, NY,40.7062128,-73.6187397,3425,11550,1136400,1554299,131519,114157,78333,183.3828567
United States,"Henderson, NV",Henderson, NV,36.0391456,-114.9819235,11719,89052,925247,0,64540,57740,36818,607.3359131
United States,"Hickory, NC",Hickory, NC,35.7331895,-81.3412006,10946,28601,15616028,1259052,41981,31203,33848,890.7381854
United States,"Hilo, HI",Hilo, HI,19.685067,-155.100536,9406,96720,28714258,0,80587,68276,61781,837.2820146
United States,"Hoboken, NJ",Hoboken, NJ,40.7433066,-74.0323752,11268,7030,571743,0,135455,125553,78897,158.2437168
United States,"Hollywood, FL",Hollywood, FL,26.0121458,-80.1676643,11843,33020,1055570,0,33011,23083,34875,945.0385786
United States,"Honolulu, HI",Honolulu, HI,21.3069444,-157.8583333,3427,96825,59600141,29652518,123833,113392,74328,5359.186903
United States,"Houston, TX",Houston, TX,29.7604267,-95.3698028,3428,77024,3748634,0,169670,300000,84592,277.3097744
United States,"Huntington, WV",Huntington, WV,38.4192496,-82.445154,3429,25702,2018886,26232,25646,20282,20922,882.52155
United States,"Huntington Beach, CA",Huntington Beach, CA,33.660297,-117.9992265,3430,92648,69762694,13438927,98804,83908,69678,31761.5595
United States,"Huntsville, AL",Huntsville, AL,34.7303688,-86.5861037,7822,35810,3746454,2577,47407,33659,47264,349.989237
United States,"Idaho Falls, ID",Idaho Falls, ID,43.4916514,-112.0339645,7994,83404,2506596,9859,78701,59580,65442,469.9480035
United States,"Indianapolis, IN",Indianapolis, IN,39.7683765,-86.1580423,3431,46234,1739353,0,69027,57622,44140,296.4194716
United States,"Iowa City, IA",Iowa City, IA,41.6611277,-91.5301683,7633,52240,67167680,734599,61088,42441,59021,17955.19812
United States,"Irvine, CA",Irvine, CA,33.6839473,-117.7946942,8366,92620,6404939,0,68649,66137,55052,298.5480322
United States,"Irving, TX",Irving, TX,32.8140177,-96.9488945,3432,75039,27181248,1289,0,0,0,0
United States,"Ithaca, NY",Ithaca, NY,42.4396039,-76.4968019,9872,14850,4575840,3196,103670,79328,74957,675.2570926
United States,"Jackson, MS",Jackson, MS,32.2987573,-90.1848103,3434,39211,5135763,0,74570,54047,61112,287.4813744
United States,"Jackson, WY",Jackson, WY,43.4799291,-110.7624282,9184,83001,77819972,845971,100173,81913,67101,1212.586845
United States,"Jacksonville, FL",Jacksonville, FL,30.3321838,-81.655651,3435,32208,5320295,2090036,22488,20336,22050,189.6844379
United States,"Jacksonville, NC",Jacksonville, NC,34.7540524,-77.4302414,9354,28546,3556953,0,66820,300000,50331,448.1530542
United States,"Jersey City, NJ",Jersey City, NJ,40.7281575,-74.0776417,3436,7307,264235,0,33099,20114,32048,386.1767009
United States,"Johnson City, TN",Johnson City, TN,36.3134398,-82.3534728,10847,37604,111347142,807175,56951,39548,56634,17878.22916
United States,"Jonesboro, AR",Jonesboro, AR,35.8422967,-90.704279,9275,72404,3723225,0,39788,36140,25046,752.0810865
United States,"Joplin, MO",Joplin, MO,37.0842271,-94.513281,7557,64802,104163,0,57759,300000,20656,6.599703976
United States,"Juneau, AK",Juneau, AK,58.3019444,-134.4197222,12551,99801,7489229,36094,92293,78817,74866,242.8802479
United States,"Jupiter, FL",Jupiter, FL,26.9342246,-80.0942087,14085,33458,56565914,4574769,89146,71237,69377,11707.46595
United States,"Kahului, HI",Kahului, HI,20.8893351,-156.4729469,12419,96732,6956425,86609,49115,48509,20456,388.0162061
United States,"Kalamazoo, MI",Kalamazoo, MI,42.2917069,-85.5872286,8916,49048,1685637,56787,30751,26735,23717,184.0937072
