city_id,health_care_index,crime_index,restaurant_price_index,climate_index,pollution_index,quality_of_life_index,cpi_index,property_price_to_income_ratio,purchasing_power_incl_rent_index,traffic_index,median,mean,std_dev,sum_w
3430,74.60300000000001,37.259,89.667,96.81700000000001,32.728,78.45,35.496,5.779,50.492,86.741,83908.0,98804.0,69678.0,31761.5595
3431,73.014,57.56399999999999,60.658,69.919,41.781000000000006,171.71900000000002,64.9,2.117,122.46,134.268,57622.0,69027.0,44140.0,296.4194716
3432,80.556,31.723000000000003,54.994,81.367,38.793,78.45,35.496,2.549,50.492,71.64699999999999,0.0,0.0,0.0,0.0
3434,71.296,77.104,62.855,86.905,27.36,154.114,77.067,3.6830000000000003,73.986,128.918,54047.0,74570.0,61112.0,287.4813744
3435,69.477,57.433,64.373,87.81,38.582,169.498,68.608,2.951,110.745,171.30200000000002,20336.0,22488.0,22050.0,189.6844379
3436,45.138999999999996,46.75,68.452,79.778,50.718,146.97,82.42399999999999,7.31,114.584,167.517,20114.0,33099.0,32048.0,386.17670089999996
3437,79.398,58.707,66.632,75.081,32.027,178.822,68.045,2.2769999999999997,112.411,126.139,78531.0,97371.0,69938.0,681.9808372
3438,55.805,55.571999999999996,73.475,57.405,53.028999999999996,148.16,68.17699999999999,3.1660000000000004,108.766,127.742,44734.0,47974.0,33006.0,505.37790650000005
3439,75.42399999999999,31.258000000000003,64.786,56.711000000000006,21.149,194.64,66.77199999999999,3.404,103.71700000000001,73.834,39811.0,37359.0,26212.0,343.74317560000003
3440,69.017,58.497,66.723,83.81700000000001,17.198,194.22299999999998,62.263000000000005,2.281,120.79799999999999,102.569,30565.0,37068.0,32671.0,325.98855539999994
3441,79.282,56.181999999999995,66.488,96.09200000000001,43.582,164.46,72.627,8.086,104.90299999999999,178.032,94556.0,92074.0,45388.0,68.69358391
3442,61.335,48.408,87.45700000000001,95.50399999999999,66.256,129.951,81.178,7.621,95.025,340.925,26090.0,39928.0,41109.0,7649.3021579999995
3443,61.325,52.79600000000001,74.17699999999999,78.613,42.523999999999994,170.947,66.344,2.541,112.931,110.01700000000001,147439.0,150119.0,76366.0,12.73220108
3444,77.53,49.268,51.972,73.249,33.17,187.287,48.324,1.9380000000000002,114.848,88.26299999999999,44459.0,58705.0,52375.0,57937.30056
3445,78.89399999999999,33.3,64.054,51.636,18.98,191.75,67.976,3.603,111.20200000000001,109.905,130473.0,139215.0,80453.0,201.8173615
3446,43.181999999999995,74.503,65.441,84.421,46.611999999999995,146.452,62.038999999999994,1.431,96.62,117.353,66987.0,85388.0,70532.0,1524.277289
3447,65.807,43.513000000000005,66.501,61.763000000000005,42.672,78.45,35.496,6.2860000000000005,50.492,173.275,68778.0,79505.0,48156.0,1126.104486
3448,62.938,53.148,74.743,85.685,39.41,146.915,78.265,5.678,77.749,213.86700000000002,48065.0,61400.0,52115.0,4600.010823
3449,65.72800000000001,68.54899999999999,65.357,60.961000000000006,29.545,147.808,79.778,3.2889999999999997,76.756,131.016,29764.0,51244.0,64069.0,467.44318110000006
3450,78.447,52.423,75.672,49.464,26.523000000000003,168.333,80.847,3.697,111.054,166.965,49135.0,70497.0,58578.0,180.5259427
